01-25 17:51:43: Training starting...
01-25 17:51:43: New best reward 18.0 (-100.0%) at episode 0, saving model...
01-25 17:51:43: New best reward 22.0 (+22.2%) at episode 1, saving model...
01-25 17:51:43: New best reward 32.0 (+45.5%) at episode 4, saving model...
01-25 17:51:43: New best reward 49.0 (+53.1%) at episode 8, saving model...
01-25 17:51:43: New best reward 64.0 (+30.6%) at episode 24, saving model...
01-25 17:51:43: New best reward 70.0 (+9.4%) at episode 51, saving model...
01-25 17:51:44: New best reward 78.0 (+11.4%) at episode 574, saving model...
01-25 17:51:44: New best reward 81.0 (+3.8%) at episode 662, saving model...
01-25 17:51:44: New best reward 84.0 (+3.7%) at episode 725, saving model...
01-25 17:51:44: New best reward 168.0 (+100.0%) at episode 783, saving model...
01-25 17:51:45: New best reward 172.0 (+2.4%) at episode 1684, saving model...
01-25 17:51:45: New best reward 205.0 (+19.2%) at episode 1793, saving model...
01-25 17:51:46: New best reward 238.0 (+16.1%) at episode 2490, saving model...
01-25 17:51:47: New best reward 506.0 (+112.6%) at episode 2549, saving model...
01-25 17:52:05: New best reward 531.0 (+4.9%) at episode 8034, saving model...
01-25 17:52:05: New best reward 645.0 (+21.5%) at episode 8046, saving model...
01-25 17:52:05: New best reward 1002.0 (+55.3%) at episode 8050, saving model...
01-25 17:52:06: New best reward 1064.0 (+6.2%) at episode 8242, saving model...
01-25 17:52:07: New best reward 1391.0 (+30.7%) at episode 8252, saving model...
01-25 17:52:07: New best reward 1504.0 (+8.1%) at episode 8293, saving model...
01-25 17:52:07: New best reward 1980.0 (+31.6%) at episode 8301, saving model...
01-25 17:52:07: New best reward 3658.0 (+84.7%) at episode 8302, saving model...
01-25 17:52:07: New best reward 4615.0 (+26.2%) at episode 8305, saving model...
01-25 17:52:09: New best reward 4645.0 (+0.7%) at episode 8394, saving model...
01-25 17:52:09: New best reward 9090.0 (+95.7%) at episode 8404, saving model...
01-25 17:52:11: New best reward 69752.0 (+667.3%) at episode 8420, saving model...
01-25 17:52:12: New best reward 100000.0 (+43.4%) at episode 8439, saving model...
